DateTime,Entries,UniqueIPs
1537087864,1434,1434
1537093273,1433,1433
1537100471,1430,1430
1537107673,1429,1429
1537110395,1430,1430
1537112167,1429,1429
1537114867,1431,1431
1537122065,1429,1429
1537122973,1428,1428
1537126572,1427,1427
1537129278,1429,1429
1537136464,1428,1428
1537140072,1427,1427
1537143669,1428,1428
1537146370,1427,1427
1537147265,1426,1426
1537150872,1424,1424
1537158067,1423,1423
1537159878,1422,1422
1537161664,1421,1421
1537165271,1421,1421
1537167069,1420,1420
1537172459,1420,1420
1537179669,1422,1422
1537181529,1421,1421
1537186869,1419,1419
1537194059,1420,1420
1537200366,1419,1419
1537201261,1420,1420
1537208458,1420,1420
1537210272,1419,1419
1537215668,1422,1422
1537219259,1421,1421
1537222865,1420,1420
1537230972,1418,1418
1537237259,1419,1419
1537244459,1416,1416
1537248069,1417,1417
1537251670,1418,1418
1537258870,1415,1415
1537266069,1415,1415
1537273257,1417,1417
1537274162,1416,1416
1537280475,1415,1415
1537282271,1414,1414
1537287654,1419,1419
1537294871,1419,1419
1537302061,1419,1419
1537305662,1418,1418
1537308361,1419,1419
1537309261,1419,1419
1537316467,1417,1417
1537323665,1419,1419
1537330868,1419,1419
1537334476,1420,1420
1537338063,1417,1417
1537344370,1416,1416
1537345274,1418,1418
1537352466,1416,1416
1537353365,1415,1415
1537356978,1416,1416
1537357885,1418,1418
1537359675,1419,1419
1537366868,1419,1419
1537374069,1423,1423
1537376767,1422,1422
1537381270,1427,1427
1537388464,1430,1430
1537393875,1429,1429
1537395671,1436,1436
1537401967,1435,1435
1537402874,1437,1437
1537410064,1438,1438
1537417269,1437,1437
1537424467,1436,1436
1537431658,1433,1433
1537437057,1432,1432
1537437967,1431,1431
1537438870,1438,1438
1537439766,1437,1437
1537446071,1439,1439
1537447858,1438,1438
1537449663,1439,1439
1537453263,1436,1436
1537460466,1447,1447
1537468569,1448,1448
1537473965,1447,1447
1537474860,1446,1446
1537482064,1447,1447
1537489267,1439,1439
1537496459,1439,1439
1537503658,1438,1438
1537510863,1435,1435
1537518056,1438,1438
1537525261,1432,1432
1537527975,1431,1431
1537528876,1430,1430
1537529763,1431,1431
1537531563,1430,1430
1537532460,1432,1432
1537539659,1424,1424
1537546856,1425,1425
1537554059,1427,1427
1537561264,1427,1427
1537568460,1427,1427
1537575667,1426,1426
1537580162,1425,1425
1537582850,1419,1419
1537583759,1418,1418
1537590061,1420,1420
1537597257,1421,1421
1537602660,1422,1422
1537603565,1423,1423
1537605359,1424,1424
1537611662,1423,1423
1537615395,1426,1426
1537618867,1437,1437
1537619758,1436,1436
1537626060,1435,1435
1537633261,1439,1439
1537640468,1441,1441
1537647656,1443,1443
1537654847,1433,1433
1537662053,1429,1429
1537669263,1429,1429
1537672859,1430,1430
1537676463,1427,1427
1537680057,1428,1428
1537683653,1423,1423
1537690856,1422,1422
1537696259,1421,1421
1537698056,1421,1421
1537700763,1420,1420
1537702563,1419,1419
1537705254,1424,1424
1537706162,1425,1425
1537712453,1421,1421
1537720554,1420,1420
1537726863,1434,1434
1537734049,1434,1434
1537740369,1433,1433
1537741263,1438,1438
1537742155,1437,1437
1537748456,1438,1438
1537755654,1433,1433
1537762859,1435,1435
1537770057,1438,1438
1537777251,1441,1441
1537780854,1440,1440
1537784453,1436,1436
1537791660,1433,1433
1537798853,1435,1435
1537806065,1433,1433
1537813256,1431,1431
1537815954,1430,1430
1537820460,1427,1427
1537826754,1426,1426
1537827654,1440,1440
1537834858,1452,1452
1537842052,1452,1452
1537849258,1451,1451
1537852860,1451,1451
1537856457,1455,1455
1537863659,1455,1455
1537870863,1455,1455
1537871756,1454,1454
1537873563,1455,1455
1537878054,1453,1453
1538065256,1488,1488
1538072454,1489,1489
1538079664,1488,1488
1538764561,1418,1418
1538770857,1417,1417
1538778066,1419,1419
1538785249,1417,1417
1538792444,1414,1414
1538799656,1412,1412
1538806857,1411,1411
1538814061,1403,1403
1538821251,1402,1402
1538823164,1401,1401
1538828456,1405,1405
1538829352,1404,1404
1538835641,1408,1408
1538842858,1410,1410
1538845542,1411,1411
1538847349,1412,1412
1538850061,1411,1411
1538857249,1410,1410
1538864450,1411,1411
1538868951,1410,1410
1538871644,1408,1408
1538875249,1407,1407
1538878845,1398,1398
1538886044,1402,1402
1538889644,1401,1401
1538893251,1397,1397
1538900454,1396,1396
1538907643,1393,1393
1538914855,1414,1414
1538916650,1413,1413
1538917546,1412,1412
1538922061,1410,1410
1538929253,1408,1408
1538936453,1405,1405
1538943659,1405,1405
1538946350,1404,1404
1538950849,1404,1404
1538952652,1403,1403
1538955340,1405,1405
1538958052,1402,1402
1538963451,1403,1403
1538965269,1400,1400
1538967945,1399,1399
1538972462,1401,1401
1538973350,1400,1400
1538975150,1399,1399
1538979649,1399,1399
1538986850,1398,1398
1538987753,1397,1397
1538993151,1396,1396
1538994053,1407,1407
1538996892,1404,1404
1538997779,1403,1403
1539000354,1450,1450
1539001258,1449,1449
1539003944,1447,1447
1539008459,1446,1446
1539015663,1448,1448
1539019255,1450,1450
1539022847,1451,1451
1539024661,1452,1452
1539030059,1450,1450
1539037243,1450,1450
1539044456,1448,1448
1539048951,1446,1446
1539051653,1441,1441
1539058858,1443,1443
1539066050,1440,1440
1539069661,1439,1439
1539073247,1444,1444
1539075055,1443,1443
1539080460,1464,1464
1539083159,1468,1468
1539087648,1468,1468
1539094852,1469,1469
1539101159,1470,1470
1539102048,1470,1470
1539105649,1469,1469
1539109246,1471,1471
1539116454,1472,1472
1539123654,1471,1471
1539130860,1473,1473
1539134451,1472,1472
1539138045,1466,1466
1539145244,1469,1469
1539147060,1468,1468
1539148854,1468,1468
1539152456,1467,1467
1539153342,1466,1466
1539156050,1465,1465
1539159653,1460,1460
1539166845,1460,1460
1539168767,1459,1459
1539169700,1458,1458
1539173148,1458,1458
1539174047,1456,1456
1539181267,1458,1458
1539188452,1457,1457
1539195653,1459,1459
1539202846,1452,1452
1539210042,1449,1449
1539217249,1450,1450
1539224463,1448,1448
1539231661,1452,1452
1539238843,1450,1450
1539246051,1450,1450
1539246950,1449,1449
1539250547,1448,1448
1539253246,1446,1446
1539258646,1445,1445
1539260451,1448,1448
1539264950,1447,1447
1539267648,1452,1452
1539274843,1451,1451
1539282050,1451,1451
1539289244,1448,1448
1539296468,1453,1453
1539303653,1450,1450
1539310849,1435,1435
1539318047,1414,1414
1539325247,1406,1406
1539329739,1405,1405
1539332440,1392,1392
1539339643,1389,1389
